"feature","med_missed_scans"
"FT1677",5
"FT1678",1
"FT1679",11
"FT1680",11
"FT1681",50
"FT1682",5
"FT1683",13
"FT1684",13
"FT1685",3
"FT1686",3
"FT1687",34.5
"FT1688",6
"FT1689",3
"FT1690",0.5
"FT1691",9.5
"FT1692",10.5
"FT1693",37
"FT1694",8
"FT1695",8
"FT1696",10.5
"FT1697",6
"FT1698",2
"FT1699",80
"FT1700",32
"FT1701",9.5
"FT1702",10
"FT1703",7
"FT1704",9
"FT1705",2.5
"FT1706",11.5
"FT1707",NA
"FT1708",13
"FT1709",22
"FT1710",52
"FT1711",7
"FT1712",14
"FT1713",10
"FT1714",8
"FT1715",6
"FT1716",15.5
"FT1717",3
"FT1718",3
"FT1719",7
"FT1720",3
"FT1721",6
"FT1722",10
"FT1723",19
"FT1724",2
"FT1725",2.5
"FT1726",9
"FT1727",11
"FT1728",3
"FT1729",12.5
"FT1730",6
"FT1731",11
"FT1732",13.5
"FT1733",12
"FT1734",12
"FT1735",9
"FT1736",8
"FT1737",4
"FT1738",6
"FT1739",3
"FT1740",8
"FT1741",23.5
"FT1742",1.5
"FT1743",9
"FT1744",9
"FT1745",4
"FT1746",8
"FT1747",10.5
"FT1748",9
"FT1749",13
"FT1750",11
"FT1751",13.5
"FT1752",12.5
"FT1753",0
"FT1754",10
"FT1755",5
"FT1756",5
"FT1757",3.5
"FT1758",13.5
"FT1759",15
"FT1760",1
"FT1761",6
"FT1762",9.5
"FT1763",9
"FT1764",3
"FT1765",17
"FT1766",NA
"FT1767",15
"FT1768",4.5
"FT1769",11.5
"FT1770",5
"FT1771",16
"FT1772",11
"FT1773",7.5
"FT1774",16.5
"FT1775",9
"FT1776",40.5
"FT1777",25
"FT1778",22
"FT1779",34
"FT1780",14
"FT1781",13
"FT1782",22.5
"FT1783",10
"FT1784",11.5
"FT1785",9
"FT1786",29
"FT1787",9
"FT1788",21
"FT1789",3.5
"FT1790",23.5
"FT1791",3.5
"FT1792",10
"FT1793",13
"FT1794",5.5
"FT1795",10
"FT1796",11
"FT1797",5.5
"FT1798",9
"FT1799",4
"FT1800",20
"FT1801",8
"FT1802",14
"FT1803",10.5
"FT1804",14
"FT1805",18.5
"FT1806",34
"FT1807",NA
"FT1808",5.5
"FT1809",8.5
"FT1810",10
"FT1811",6
"FT1812",9
"FT1813",11
"FT1814",11
"FT1815",14
"FT1816",23
"FT1817",16
"FT1818",6.5
"FT1819",6.5
"FT1820",22
"FT1821",-0.5
"FT1822",8
"FT1823",16.5
"FT1824",1
"FT1825",8.5
"FT1826",NA
"FT1827",13
"FT1828",23
"FT1829",4
"FT1830",10
"FT1831",10.5
"FT1832",0.5
"FT1833",8.5
"FT1834",6
"FT1835",6
"FT1836",13
"FT1837",8
"FT1838",18
"FT1839",14
"FT1840",-6
"FT1841",8
"FT1842",9
"FT1843",6.5
"FT1844",5.5
"FT1845",25
"FT1846",10
"FT1847",11
"FT1848",11
"FT1849",5
"FT1850",10
"FT1851",5
"FT1852",6.5
"FT1853",8
"FT1854",8
"FT1855",13
"FT1856",16.5
"FT1857",4
"FT1858",23
"FT1859",8.5
"FT1860",4
"FT1861",11.5
"FT1862",27
"FT1863",8.5
"FT1864",8
"FT1865",6
"FT1866",12.5
"FT1867",2.5
"FT1868",10
"FT1869",12
"FT1870",17
"FT1871",7
"FT1872",5
"FT1873",5
"FT1874",5
"FT1875",7.5
"FT1876",14.5
"FT1877",6
"FT1878",6
"FT1879",9
"FT1880",8
"FT1881",28
"FT1882",12.5
"FT1883",6
"FT1884",10.5
"FT1885",16
"FT1886",6
"FT1887",8
"FT1888",6.5
"FT1889",7
"FT1890",8
"FT1891",4.5
"FT1892",5.5
"FT1893",19
"FT1894",12
"FT1895",6
"FT1896",7.5
"FT1897",13
"FT1898",16.5
"FT1899",10
"FT1900",5
"FT1901",15
"FT1902",8
"FT1903",10
"FT1904",4
"FT1905",8.5
"FT1906",15
"FT1907",9.5
"FT1908",7.5
"FT1909",4
"FT1910",7
"FT1911",8
"FT1912",13
"FT1913",15
"FT1914",6
"FT1915",11
"FT1916",9
"FT1917",13
"FT1918",9.5
"FT1919",13
"FT1920",9
"FT1921",4
"FT1922",7
"FT1923",3
"FT1924",16.5
"FT1925",9
"FT1926",7
"FT1927",8
"FT1928",6.5
"FT1929",8
"FT1930",5
"FT1931",4
"FT1932",17
"FT1933",9
"FT1934",6
"FT1935",19.5
"FT1936",13
"FT1937",4
"FT1938",10.5
"FT1939",8.5
"FT1940",10
"FT1941",11
"FT1942",4
"FT1943",4
"FT1944",10
"FT1945",7
"FT1946",7
"FT1947",4.5
"FT1948",12
"FT1949",8
"FT1950",18
"FT1951",7.5
"FT1952",10
"FT1953",4
"FT1954",5.5
"FT1955",19.5
"FT1956",12
"FT1957",5.5
"FT1958",7
"FT1959",12.5
"FT1960",9
"FT1961",10
"FT1962",8
"FT1963",9
"FT1964",11
"FT1965",14
"FT1966",4
"FT1967",10.5
"FT1968",8
"FT1969",9
"FT1970",10
"FT1971",10
"FT1972",10
"FT1973",8
"FT1974",13
"FT1975",10
"FT1976",7.5
"FT1977",17.5
"FT1978",22
"FT1979",7
"FT1980",4
"FT1981",NA
"FT1982",7.5
"FT1983",5
"FT1984",8
"FT1985",6
"FT1986",9
"FT1987",5.5
"FT1988",4
"FT1989",12
"FT1990",11
"FT1991",5.5
"FT1992",12
"FT1993",8
"FT1994",7.5
"FT1995",6.5
"FT1996",15
"FT1997",8.5
"FT1998",7
"FT1999",6.5
"FT2000",10
"FT2001",10
"FT2002",24
"FT2003",27
"FT2004",7.5
"FT2005",13
"FT2006",31
"FT2007",13
"FT2008",6
"FT2009",7
"FT2010",15.5
"FT2011",8.5
"FT2012",9
"FT2013",7
"FT2014",10
"FT2015",17
"FT2016",11
"FT2017",6
"FT2018",7.5
"FT2019",19
"FT2020",19
"FT2021",10
"FT2022",9
"FT2023",3.5
"FT2024",9
"FT2025",6
"FT2026",6
"FT2027",17
"FT2028",8.5
"FT2029",8
"FT2030",2.5
"FT2031",11
"FT2032",6
"FT2033",8.5
"FT2034",12.5
"FT2035",4.5
"FT2036",8
"FT2037",7.5
"FT2038",2.5
"FT2039",11.5
"FT2040",10
